conv_layers,kernel_size,use_batchnorm,fc_neurons,run,accuracy,PPV,NPV,sensitivity,specificity,F-score
"[8, 2]",4,True,32,0,0.972,0.9729458917835672,0.9710578842315369,0.971,0.973,0.9719719719719718
"[8, 2]",4,True,32,1,0.958,0.9589178356713427,0.9570858283433133,0.957,0.959,0.9579579579579579
"[8, 2]",4,True,32,2,0.97,0.9653465346534653,0.9747474747474747,0.975,0.965,0.9701492537313432
"[8, 2]",4,True,32,3,0.974,0.9730538922155688,0.9749498997995992,0.975,0.973,0.9740259740259739
"[8, 2]",4,False,2,0,0.4995,0.49974987493746875,0.0,0.999,0.0,0.6662220740246748
"[8, 2]",4,False,2,1,0.5,,0.5,0.0,1.0,
"[8, 2]",4,False,2,2,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 2]",4,False,2,3,0.806,0.7727272727272727,0.8485193621867881,0.867,0.745,0.8171536286522147
"[8, 2]",4,False,8,0,0.713,0.6964944649446494,0.732532751091703,0.755,0.671,0.7245681381957774
"[8, 2]",4,False,8,1,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 2]",4,False,8,2,0.76,0.753411306042885,0.7669404517453798,0.773,0.747,0.7630799605133268
"[8, 2]",4,False,8,3,0.7255,0.7033363390441839,0.7530864197530864,0.78,0.671,0.7396870554765291
"[8, 2]",4,False,32,0,0.8225,0.8208955223880597,0.8241206030150754,0.825,0.82,0.8229426433915212
"[8, 2]",4,False,32,1,0.6925,0.6708074534161491,0.720504009163803,0.756,0.629,0.7108603667136812
"[8, 2]",4,False,32,2,0.809,0.7696335078534031,0.8618266978922716,0.882,0.736,0.8219944082013048
"[8, 2]",4,False,32,3,0.5,0.5,,1.0,0.0,0.6666666666666666
"[8, 2]",8,True,2,0,0.9585,0.9664292980671414,0.9508357915437562,0.95,0.967,0.9581442259203228
"[8, 2]",8,True,2,1,0.9665,0.9605133267522211,0.9726443768996961,0.973,0.96,0.9667163437655242
"[8, 2]",8,True,2,2,0.9685,0.9766022380467956,0.960668633235005,0.96,0.977,0.968229954614221
"[8, 2]",8,True,2,3,0.963,0.9695740365111561,0.9566074950690335,0.956,0.97,0.9627391742195367
"[8, 2]",8,True,8,0,0.972,0.9777327935222672,0.9664031620553359,0.966,0.978,0.9718309859154929
"[8, 2]",8,True,8,1,0.97,0.9766734279918864,0.9635108481262328,0.963,0.977,0.9697885196374623
